Timestamp,Game ID:,Match Date:,Match Type:,1st Place (Player ID):,1st Place (Corp):,1st Place (Score):,2nd Place (Player ID):,2nd Place (Corp):,2nd Place (Score):,3rd Place (Player ID):,3rd Place (Corp):,3rd Place (Score):,(*For Ties Only*) 1st Place (MC):,(*For Ties Only*) 2nd Place (MC):,(*For Ties Only*) 3rd Place (MC):,Video:,Discord Post:
7/21/2021 20:56:13,A0084,7/21/2021,Season 2,karmakanik,Interplanetary Cinematics,95,BreadEnthusiast,Credicor,69,jjworshipleader,Tharsis Republic,58,,,,,"1st - karmakanik (95 VP, Interplanetary Cinematics) // 2nd - BreadEnthusiast (69 VP, Credicor) // 3rd - jjworshipleader (58 VP, Tharsis Republic)"
7/22/2021 13:48:21,A0114,7/22/2021,Season 2,Nekiyan,United Nations Mars Initiative,73,Andre_Kappa,Saturn Systems,51,MorianDavis,Mining Guild,51,,49,42,,"1st - Nekiyan (73 VP, United Nations Mars Initiative) // 2nd - Andre_Kappa (51 VP, Saturn Systems) // 3rd - MorianDavis (51 VP, Mining Guild)"
7/22/2021 14:48:19,A0154,7/22/2021,Season 2,Druen,Inventrix,97,Dahyunayeon,Credicor,72,Cromemox,Ecoline,62,,,,,"1st - Druen (97 VP, Inventrix) // 2nd - Dahyunayeon (72 VP, Credicor) // 3rd - Cromemox (62 VP, Ecoline)"
7/22/2021 15:54:59,A0099,7/22/2021,Season 2,Finnsane,Interplanetary Cinematics,120,Laranjo,Tharsis Republic,104,MistPudim,Saturn Systems,81,,,,,"1st - Finnsane (120 VP, Interplanetary Cinematics) // 2nd - Laranjo (104 VP, Tharsis Republic) // 3rd - MistPudim (81 VP, Saturn Systems)"
7/22/2021 18:53:36,A0085,7/22/2021,Season 2,esle123,Ecoline,82,vstan,Helion,73,Qualitaetsgarant,United Nations Mars Initiative,64,,,,,"1st - esle123 (82 VP, Ecoline) // 2nd - vstan (73 VP, Helion) // 3rd - Qualitaetsgarant (64 VP, United Nations Mars Initiative)"
7/22/2021 20:37:08,A0071,7/22/2021,Season 2,kroshtron,Teractor,79,ikefalcon,Saturn Systems,69,TimFinnegan,Credicor,58,,,,,"1st - kroshtron (79 VP, Teractor) // 2nd - ikefalcon (69 VP, Saturn Systems) // 3rd - TimFinnegan (58 VP, Credicor)"
7/23/2021 13:33:06,A0130,7/23/2021,Season 2,emily's worst nightmare,Teractor,97,Qualitaetsgarant,Tharsis Republic,96,HoosierJeff,Credicor,73,,,,,"1st - emily's worst nightmare (97 VP, Teractor) // 2nd - Qualitaetsgarant (96 VP, Tharsis Republic) // 3rd - HoosierJeff (73 VP, Credicor)"
7/23/2021 15:44:18,A0139,7/23/2021,Season 2,LambTree,Phobolog,78,Belemil,Ecoline,76,Ladyfromafar,Mining Guild,74,,,,,"1st - LambTree (78 VP, Phobolog) // 2nd - Belemil (76 VP, Ecoline) // 3rd - Ladyfromafar (74 VP, Mining Guild)"
7/24/2021 5:12:13,A0155,7/24/2021,Season 2,HighlanderKG,Teractor,122,PapáDeAzúcar,Credicor,72,SquirtleLvl12,Thorgate,69,,,,,"1st - HighlanderKG (122 VP, Teractor) // 2nd - PapáDeAzúcar (72 VP, Credicor) // 3rd - SquirtleLvl12 (69 VP, Thorgate)"
7/24/2021 14:26:21,A0077,7/24/2021,Season 2,Omar Lapince,Inventrix,80,tmfan,Phobolog,75,ScratchesTheBear,Interplanetary Cinematics,70,,,,https://www.youtube.com/watch?v=tBkVJkDVbmA,"1st - Omar Lapince (80 VP, Inventrix) // 2nd - tmfan (75 VP, Phobolog) // 3rd - ScratchesTheBear (70 VP, Interplanetary Cinematics)"
7/25/2021 5:36:57,A0100,7/25/2021,Season 2,Deginald,Teractor,105,Trzyszcz,Inventrix,81,jaythaker96,Credicor,68,,,,,"1st - Deginald (105 VP, Teractor) // 2nd - Trzyszcz (81 VP, Inventrix) // 3rd - jaythaker96 (68 VP, Credicor)"
7/25/2021 13:33:35,A0159,7/25/2021,Season 2,Nekiyan,Credicor,92,Dacruise,Interplanetary Cinematics,78,CaptainTSR,Saturn Systems,75,,,,,"1st - Nekiyan (92 VP, Credicor) // 2nd - Dacruise (78 VP, Interplanetary Cinematics) // 3rd - CaptainTSR (75 VP, Saturn Systems)"
7/26/2021 11:32:10,A0158,7/26/2021,Season 2,Mały Farciarz,Mining Guild,102,MorianDavis,Ecoline,92,Rinmay87,Teractor,77,,,,,"1st - Mały Farciarz (102 VP, Mining Guild) // 2nd - MorianDavis (92 VP, Ecoline) // 3rd - Rinmay87 (77 VP, Teractor)"
7/26/2021 13:42:24,A0102,7/26/2021,Season 2,paranoidsnail,Saturn Systems,87,Keenankj,Inventrix,86,Ocram82,Tharsis Republic,76,,,,,"1st - paranoidsnail (87 VP, Saturn Systems) // 2nd - Keenankj (86 VP, Inventrix) // 3rd - Ocram82 (76 VP, Tharsis Republic)"
7/26/2021 15:06:52,A0181,7/26/2021,Season 2,JelleL,Tharsis Republic,85,Lovinho,Interplanetary Cinematics,69,komodo,Mining Guild,58,,,,https://youtu.be/hxCP8yeyZlE,"1st - JelleL (85 VP, Tharsis Republic) // 2nd - Lovinho (69 VP, Interplanetary Cinematics) // 3rd - komodo (58 VP, Mining Guild)"
7/26/2021 15:59:14,A0018,7/26/2021,Season 2,Venophile,Tharsis Republic,118,Sickysoka,Phobolog,105,boomata,Inventrix,71,,,,,"1st - Venophile (118 VP, Tharsis Republic) // 2nd - Sickysoka (105 VP, Phobolog) // 3rd - boomata (71 VP, Inventrix)"
7/26/2021 20:33:29,A0160,7/26/2021,Season 2,Private O'Malley,Saturn Systems,94,ikefalcon,Ecoline,77,dystopian citizen,Thorgate,67,,,,https://www.twitch.tv/videos/1099204797,"1st - Private O'Malley (94 VP, Saturn Systems) // 2nd - ikefalcon (77 VP, Ecoline) // 3rd - dystopian citizen (67 VP, Thorgate)"
7/27/2021 10:13:27,A0203,7/27/2021,Season 2,Nekiyan,Mining Guild,83,Dacruise,Tharsis Republic,75,MorianDavis,Credicor,62,,,,,"1st - Nekiyan (83 VP, Mining Guild) // 2nd - Dacruise (75 VP, Tharsis Republic) // 3rd - MorianDavis (62 VP, Credicor)"
7/27/2021 11:22:51,A0268,7/27/2021,Season 2,T4Mars+KR,Teractor,115,screamcfc,Tharsis Republic,88,Thedred,Interplanetary Cinematics,73,,,,,"1st - T4Mars+KR (115 VP, Teractor) // 2nd - screamcfc (88 VP, Tharsis Republic) // 3rd - Thedred (73 VP, Interplanetary Cinematics)"
7/27/2021 15:49:23,A0291,7/27/2021,Season 2,adysk,Inventrix,92,Cromemox,Ecoline,83,SquirtleLvl12,Saturn Systems,82,,,,https://youtu.be/CsVc1KT6Lco,"1st - adysk (92 VP, Inventrix) // 2nd - Cromemox (83 VP, Ecoline) // 3rd - SquirtleLvl12 (82 VP, Saturn Systems)"
7/27/2021 21:13:32,A0132,7/27/0021,Season 2,enoon,Tharsis Republic,103,vstan,Credicor,77,Tinkerbob,Ecoline,73,,,,https://youtu.be/H6pltUjQzNg,"1st - enoon (103 VP, Tharsis Republic) // 2nd - vstan (77 VP, Credicor) // 3rd - Tinkerbob (73 VP, Ecoline)"
7/28/2021 20:42:16,A0124,7/28/2021,Season 2,Me0www,Tharsis Republic,86,Kkenne5,Phobolog,72,SorryDave,Inventrix,65,,,,,"1st - Me0www (86 VP, Tharsis Republic) // 2nd - Kkenne5 (72 VP, Phobolog) // 3rd - SorryDave (65 VP, Inventrix)"
